LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME_OF_PROD,VALUE_PROD,Flag Codes
DNK,OILPROD,TOT,KTOE,A,2004,19782.794,
DNK,OILPROD,TOT,KTOE,A,2005,19017.651,
DNK,OILPROD,TOT,KTOE,A,2006,17294.282,
DNK,OILPROD,TOT,KTOE,A,2007,15579.13,
DNK,OILPROD,TOT,KTOE,A,2008,14414.469,
DNK,OILPROD,TOT,KTOE,A,2009,13251.863,
DNK,OILPROD,TOT,KTOE,A,2010,12485.693,
DNK,OILPROD,TOT,KTOE,A,2011,11236.816,
DNK,OILPROD,TOT,KTOE,A,2012,10249.833,
DNK,OILPROD,TOT,KTOE,A,2013,8917.765,
DNK,OILPROD,TOT,KTOE,A,2014,8350.841,
DNK,OILPROD,TOT,KTOE,A,2015,7897.917,
DNK,OILPROD,TOT,KTOE,A,2016,7111.207,
DNK,OILPROD,TOT,KTOE,A,2017,6916.07,
FIN,OILPROD,TOT,KTOE,A,2000,0,
FIN,OILPROD,TOT,KTOE,A,2001,0,
FIN,OILPROD,TOT,KTOE,A,2002,0,
FIN,OILPROD,TOT,KTOE,A,2003,0,
FIN,OILPROD,TOT,KTOE,A,2004,0,
FIN,OILPROD,TOT,KTOE,A,2005,0,
FIN,OILPROD,TOT,KTOE,A,2006,0,
FIN,OILPROD,TOT,KTOE,A,2007,0,
FIN,OILPROD,TOT,KTOE,A,2008,0,
FIN,OILPROD,TOT,KTOE,A,2009,0,
FIN,OILPROD,TOT,KTOE,A,2010,0,
FIN,OILPROD,TOT,KTOE,A,2011,0,
FIN,OILPROD,TOT,KTOE,A,2012,0,
FIN,OILPROD,TOT,KTOE,A,2013,0,
FIN,OILPROD,TOT,KTOE,A,2014,0,
FIN,OILPROD,TOT,KTOE,A,2015,0,
FIN,OILPROD,TOT,KTOE,A,2016,0,
FIN,OILPROD,TOT,KTOE,A,2017,0,
FRA,OILPROD,TOT,KTOE,A,2000,1416.729,
FRA,OILPROD,TOT,KTOE,A,2001,1381.736,
FRA,OILPROD,TOT,KTOE,A,2002,1316.591,
FRA,OILPROD,TOT,KTOE,A,2003,1245.582,
FRA,OILPROD,TOT,KTOE,A,2004,1162.816,
FRA,OILPROD,TOT,KTOE,A,2005,1102.529,
FRA,OILPROD,TOT,KTOE,A,2006,1078.006,
FRA,OILPROD,TOT,KTOE,A,2007,995.24,
FRA,OILPROD,TOT,KTOE,A,2008,996.261,
FRA,OILPROD,TOT,KTOE,A,2009,918.604,
FRA,OILPROD,TOT,KTOE,A,2010,915.539,
FRA,OILPROD,TOT,KTOE,A,2011,914.517,
FRA,OILPROD,TOT,KTOE,A,2012,824.598,
FRA,OILPROD,TOT,KTOE,A,2013,810.293,
FRA,OILPROD,TOT,KTOE,A,2014,782.704,
FRA,OILPROD,TOT,KTOE,A,2015,853.209,
FRA,OILPROD,TOT,KTOE,A,2016,832.772,
FRA,OILPROD,TOT,KTOE,A,2017,773.508,
DEU,OILPROD,TOT,KTOE,A,2000,3232.469,
DEU,OILPROD,TOT,KTOE,A,2001,3346.82,
DEU,OILPROD,TOT,KTOE,A,2002,3582.67,
DEU,OILPROD,TOT,KTOE,A,2003,3767.47,
DEU,OILPROD,TOT,KTOE,A,2004,3553.735,
DEU,OILPROD,TOT,KTOE,A,2005,3560.619,
DEU,OILPROD,TOT,KTOE,A,2006,3469.054,
DEU,OILPROD,TOT,KTOE,A,2007,3443.765,
DEU,OILPROD,TOT,KTOE,A,2008,3100.633,
DEU,OILPROD,TOT,KTOE,A,2009,2813.485,
DEU,OILPROD,TOT,KTOE,A,2010,2523.823,
DEU,OILPROD,TOT,KTOE,A,2011,2671.612,
DEU,OILPROD,TOT,KTOE,A,2012,2645.69,
DEU,OILPROD,TOT,KTOE,A,2013,2682.905,
DEU,OILPROD,TOT,KTOE,A,2014,2473.152,
DEU,OILPROD,TOT,KTOE,A,2015,2450.728,
DEU,OILPROD,TOT,KTOE,A,2016,2392.861,
DEU,OILPROD,TOT,KTOE,A,2017,2227.381,
GRC,OILPROD,TOT,KTOE,A,2000,233.315,
GRC,OILPROD,TOT,KTOE,A,2001,155.847,
